paper_id,collection,journal,source_md_path,doi,title,title_norm,authors,first_author_norm,year
paper_d52ead397063,group1,group1,group1/820_811711543849779202_10.1007%2Fs10107-010-0418-y.fixed.md,10.1007/s10107-010-0418-y,Verifiable conditions of $\ell_1$ -recovery for sparse signals with sign restrictions,verifiable conditions of ell 1 recovery for sparse signals with sign restrictions,Anatoli Juditsky cdot Fatma K l nc Karzan cdot Arkadi Nemirovski,nemirovski,2010
paper_e772a71500f7,group1,group1,group1/820_811712078875197441_10.1007%2Fs10107-010-0417-z.fixed.md,10.1007/s10107-010-0417-z,On verifiable sufficient conditions for sparse signal recovery via $\ell_1$ minimization,on verifiable sufficient conditions for sparse signal recovery via ell 1 minimization,Anatoli Juditsky cdot Arkadi Nemirovski,nemirovski,2010
paper_c0975d3ee41a,group1,group1,group1/820_811712242394333185_10.1007%2Fs10107-010-0428-9.fixed.md,10.1007/s10107-010-0428-9,Sample average approximation of stochastic dominance constrained programs,sample average approximation of stochastic dominance constrained programs,Jian Hu Tito Homem-de-Mello Sanjay Mehrotra,mehrotra,2010
paper_4b06d6d4b146,group1,group1,group1/820_811713066747035649_10.1007%2Fs10107-010-0427-x.fixed.md,10.1007/s10107-010-0427-x,Fixed point optimization algorithm and its application to power control in CDMA data networks,fixed point optimization algorithm and its application to power control in cdma data networks,Hideaki Iiduka,iiduka,2010
paper_6ac8176b9910,group1,group1,group1/820_811714460778496000_10.1007%2Fs10107-010-0421-3.fixed.md,10.1007/s10107-010-0421-3,Barrier subgradient method,barrier subgradient method,Yurii Nesterov,nesterov,2010
paper_9dd5e58773bc,group1,group1,group1/820_811714675711410176_10.1007%2Fs10107-010-0420-4.fixed.md,10.1007/s10107-010-0420-4,Pegasos: primal estimated sub-gradient solver for SVM,pegasos primal estimated sub gradient solver for svm,Shai Shalev-Shwartz Yoram Singer,singer,2010
paper_ee8978ca79f8,group1,group1,group1/820_811715427049668608_10.1007%2Fs10107-010-0415-1.fixed.md,10.1007/s10107-010-0415-1,Chance constrained uncertain classification via robust optimization,chance constrained uncertain classification via robust optimization,Aharon Ben-Tal cdot Sahely Bhadra cdot Chiranjib Bhattacharyya cdot J. Saketha Nath,nath,2010
paper_25949a176749,group1,group1,group1/820_811715428614144001_10.1007%2Fs10107-010-0422-2.fixed.md,10.1007/s10107-010-0422-2,Null space conditions and thresholds for rank minimization,null space conditions and thresholds for rank minimization,Benjamin Recht cdot Weiyu Xu cdot Babak Hassibi,hassibi,2010
paper_204b439daff5,group1,group1,group1/820_811715550253154305_10.1007%2Fs10107-010-0410-6.fixed.md,10.1007/s10107-010-0410-6,Fractional packing in ideal clutters,fractional packing in ideal clutters,Yuji Matsuoka,matsuoka,2010
paper_09dd0dfe1df7,group1,group1,group1/820_811715650983559169_10.1007%2Fs10107-010-0416-0.fixed.md,10.1007/s10107-010-0416-0,Testing the nullspace property using semidefinite programming,testing the nullspace property using semidefinite programming,Alexandre d'Aspremont Laurent El Ghaoui,ghaoui,2010
paper_8e493e9c186e,group1,group1,group1/820_811736423517388802_10.1007%2Fs10107-010-0411-5.fixed.md,10.1007/s10107-010-0411-5,Improved semidefinite programming bounds for quadratic assignment problems with suitable symmetry,improved semidefinite programming bounds for quadratic assignment problems with suitable symmetry,Etienne de Klerk cdot Renata Sotirov,sotirov,2010
paper_acce471ecdfc,group1,group1,group1/820_811736667172896769_10.1007%2Fs10107-010-0409-z.fixed.md,10.1007/s10107-010-0409-z,Approximation algorithms for homogeneous polynomial optimization with quadratic constraints,approximation algorithms for homogeneous polynomial optimization with quadratic constraints,Simai He cdot Zhening Li cdot Shuzhong Zhang,zhang,2010
paper_7011783c3fb8,group1,group1,group1/820_811737260960514049_10.1007%2Fs10107-010-0412-4.fixed.md,10.1007/s10107-010-0412-4,Two-stage quadratic integer programs with stochastic right-hand sides,two stage quadratic integer programs with stochastic right hand sides,Osman Y. zalt n cdot Oleg A. Prokopyev cdot Andrew J. Schaefer,schaefer,2010
paper_ee1b65a0ea2b,group1,group1,group1/820_811737609834332160_10.1007%2Fs10107-010-0408-0.fixed.md,10.1007/s10107-010-0408-0,A line search exact penalty method using steering rules,a line search exact penalty method using steering rules,Richard H. Byrd cdot Gabriel Lopez-Calva cdot Jorge Nocedal,nocedal,2010
paper_39c919780a01,group1,group1,group1/820_811737616205479939_10.1007%2Fs10107-010-0413-3.fixed.md,10.1007/s10107-010-0413-3,Stabilized SQP revisited,stabilized sqp revisited,A. F. Izmailov cdot M. V. Solodov,solodov,2010
paper_3a74d4463bb1,group1,group1,group1/820_811742225204510720_10.1007%2Fs10107-010-0406-2.fixed.md,10.1007/s10107-010-0406-2,A ranking model for the greedy algorithm and discrete convexity,a ranking model for the greedy algorithm and discrete convexity,Ulrich Faigle cdot Walter Kern cdot Britta Peis,peis,2010
paper_080e76fb6ead,group1,group1,group1/820_811743083010981888_10.1007%2Fs10107-010-0407-1.fixed.md,10.1007/s10107-010-0407-1,A counterexample to a conjecture of Gomory and Johnson,a counterexample to a conjecture of gomory and johnson,Amitabh Basu cdot Michele Conforti cdot G rard Cornu jols cdot Giacomo Zambelli,zambelli,2010
paper_ea7ca91a28ff,group1,group1,group1/820_811746434213740545_10.1007%2Fs10107-010-0405-3.fixed.md,10.1007/s10107-010-0405-3,The integer approximation error in mixed-integer optimal control,the integer approximation error in mixed integer optimal control,Sebastian Sager cdot Hans Georg Bock cdot Moritz Diehl,diehl,2010
paper_01d6139435a1,group1,group1,group1/820_811751573838364673_10.1007%2Fs10107-010-0403-5.fixed.md,10.1007/s10107-010-0403-5,Bin packing with general cost structures,bin packing with general cost structures,Leah Epstein cdot Asaf Levin,levin,2010
paper_c82a21d2b78a,group1,group1,group1/820_811754315248041985_10.1007%2Fs10107-010-0394-2.fixed.md,10.1007/s10107-010-0394-2,"Approximation accuracy, gradient methods, and error bound for structured convex optimization",approximation accuracy gradient methods and error bound for structured convex optimization,Paul Tseng,tseng,2010
paper_f806b0a4c07a,group1,group1,group1/820_811755714362998785_10.1007%2Fs10107-010-0401-7.fixed.md,10.1007/s10107-010-0401-7,Holder metric regularity of set-valued maps,holder metric regularity of set valued maps,H l ne Frankowska cdot Marc Quincampoix,quincampoix,2010
paper_cd82a7d9b3f4,group1,group1,group1/820_811757033316417536_10.1007%2Fs10107-010-0402-6.fixed.md,10.1007/s10107-010-0402-6,Exploiting sparsity in linear and nonlinear matrix inequalities via positive semidefinite matrix completion,exploiting sparsity in linear and nonlinear matrix inequalities via positive semidefinite matrix completion,Sunyoung Kim Masakazu Kojima Martin Meissen Makoto Yamashita,yamashita,2010
paper_a40f74bf61f4,group1,group1,group1/820_811757135112175617_10.1007%2Fs10107-010-0399-x.fixed.md,10.1007/s10107-010-0399-x,New results on the Windy Postman Problem,new results on the windy postman problem,Angel Corber n Marcus Oswald Isaac Plana Gerhard Reinelt Jos M. Sanchis,sanchis,2010
paper_23069bbe8fa8,group1,group1,group1/820_811762928494575619_10.1007%2Fs10107-010-0392-4.fixed.md,10.1007/s10107-010-0392-4,On the enumerative nature of Gomory's dual cutting plane method,on the enumerative nature of gomory s dual cutting plane method,Egon Balas cdot Matteo Fischetti cdot Arrigo Zanette,zanette,2010
paper_940f7a6180b4,group1,group1,group1/820_811763391587680257_10.1007%2Fs10107-010-0396-0.fixed.md,10.1007/s10107-010-0396-0,Characterization of strong stability for C-stationary points in MPCC,characterization of strong stability for c stationary points in mpcc,H. Th. Jongen cdot V. Shikhman cdot S. Steffensen,steffensen,2010
paper_09a7885a3141,group1,group1,group1/820_811766246381977600_10.1007%2Fs10107-010-0395-1.fixed.md,10.1007/s10107-010-0395-1,Three modeling paradigms in mathematical programming,three modeling paradigms in mathematical programming,Jong-Shi Pang,pang,2010
paper_45009b453c9a,group1,group1,group1/820_811767907846455296_10.1007%2Fs10107-010-0398-y.fixed.md,10.1007/s10107-010-0398-y,Demand allocation with latency cost functions,demand allocation with latency cost functions,Alessandro Agnetis cdot Enrico Grande cdot Andrea Pacifici,pacifici,2010
paper_bece632c27f1,group1,group1,group1/820_811770584009539586_10.1007%2Fs10107-010-0393-3.fixed.md,10.1007/s10107-010-0393-3,Risk-averse dynamic programming for Markov decision processes,risk averse dynamic programming for markov decision processes,Andrzej Ruszczy ski,ski,2010
paper_f1786040c24a,group1,group1,group1/820_811770867116670977_10.1007%2Fs10107-010-0397-z.fixed.md,10.1007/s10107-010-0397-z,A weighted independent even factor algorithm,a weighted independent even factor algorithm,Kenjiro Takazawa,takazawa,2010
paper_8b7c14c1bb46,group1,group1,group1/820_811771182004043777_10.1007%2Fs10107-010-0390-6.fixed.md,10.1007/s10107-010-0390-6,A polyhedral approach to the alldifferent system,a polyhedral approach to the alldifferent system,D. Magos cdot I. Mourtos cdot G. Appa,appa,2010
paper_3835277602cb,group1,group1,group1/820_811772974829928449_10.1007%2Fs10107-010-0389-z.fixed.md,10.1007/s10107-010-0389-z,"On bar frameworks, stress matrices and semidefinite programming",on bar frameworks stress matrices and semidefinite programming,odot Springer; Mathematical Optimization Society,springer,2010
paper_5008479798d6,group1,group1,group1/820_811776119282860032_10.1007%2Fs10107-021-01706-2.fixed.md,10.1007/s10107-021-01706-2,Worst-case analysis of clique MIPs,worst case analysis of clique mips,Mohammad Javad Naderi Austin Buchanan Jose L. Walteros,walteros,2021
paper_b363ee35ea25,group1,group1,group1/820_811779598319616007_10.1007%2Fs10107-010-0388-0.fixed.md,10.1007/s10107-010-0388-0,Constraint augmentation in pseudo-singularly perturbed linear programs,constraint augmentation in pseudo singularly perturbed linear programs,K. Avrachenkov cdot R. S. Burachik cdot J. A. Filar cdot V. Gaitsgory,gaitsgory,2010
paper_9e7040d64020,group1,group1,group1/820_811779683614982145_10.1007%2Fs10107-010-0372-8.fixed.md,10.1007/s10107-010-0372-8,Recognizing binet matrices,recognizing binet matrices,Antoine Musitelli,musitelli,2010
paper_d43b0d5c6aef,group1,group1,group1/820_811783317039874050_10.1007%2Fs10107-010-0386-2.fixed.md,10.1007/s10107-010-0386-2,Newton's method for computing a normalized equilibrium in the generalized Nash game through fixed point formulation,newton s method for computing a normalized equilibrium in the generalized nash game through fixed point formulation,Anna von Heusinger cdot Christian Kanzow cdot Masao Fukushima,fukushima,2010
paper_8eece324e500,group1,group1,group1/820_811783995061698561_10.1007%2Fs10107-010-0387-1.fixed.md,10.1007/s10107-010-0387-1,Minmax-distance approximation and separation problems: geometrical properties,minmax distance approximation and separation problems geometrical properties,Frank Plastria cdot Emilio Carrizosa,carrizosa,2010
paper_5c520eb24b83,group1,group1,group1/820_811784768516521985_10.1007%2Fs10107-010-0384-4.fixed.md,10.1007/s10107-010-0384-4,The master equality polyhedron with multiple rows,the master equality polyhedron with multiple rows,Sanjeeb Dash cdot Ricardo Fukasawa cdot Oktay G nl k,k,2010
paper_b8fc92f779d1,group1,group1,group1/820_811786229560377345_10.1007%2Fs10107-010-0354-x.fixed.md,10.1007/s10107-010-0354-x,Local and superlinear convergence of a primal-dual interior point method for nonlinear semidefinite programming,local and superlinear convergence of a primal dual interior point method for nonlinear semidefinite programming,Hiroshi Yamashita Hiroshi Yabe,yabe,2010
paper_a6ae542fff3c,group1,group1,group1/820_811786474092494849_10.1007%2Fs10107-010-0358-6.fixed.md,10.1007/s10107-010-0358-6,Parametric nonlinear discrete optimization over well-described sets and matroid intersections,parametric nonlinear discrete optimization over well described sets and matroid intersections,Y. Berstein cdot J. Lee cdot S. Onn cdot R. Weismantel,weismantel,2010
paper_726bb07af33b,group1,group1,group1/820_811786487405215744_10.1007%2Fs10107-010-0373-7.fixed.md,10.1007/s10107-010-0373-7,"On the dominant of the $s$ - $t$ -cut polytope: Vertices, facets, and adjacency",on the dominant of the s t cut polytope vertices facets and adjacency,Martin Skutella cdot Alexia Weber,weber,2010
paper_970d8f32270e,group1,group1,group1/820_811786775054778369_10.1007%2Fs10107-010-0370-x.fixed.md,10.1007/s10107-010-0370-x,Small Chvátal Rank,small chv tal rank,Tristram Bogart cdot Annie Raymond cdot Rekha Thomas,thomas,2010
paper_3b975b7218b0,group1,group1,group1/820_811786862673788929_10.1007%2Fs10107-010-0366-6.fixed.md,10.1007/s10107-010-0366-6,"Max Flow and Min Cut with bounded-length paths: complexity, algorithms, and approximation",max flow and min cut with bounded length paths complexity algorithms and approximation,A. Ridha Mahjoub cdot S. Thomas McCormick,mccormick,2010
paper_183e943e57aa,group1,group1,group1/820_811786890360389632_10.1007%2Fs10107-010-0368-4.fixed.md,10.1007/s10107-010-0368-4,Locating leak detecting sensors in a water distribution network by solving prize-collecting Steiner arborescence problems,locating leak detecting sensors in a water distribution network by solving prize collecting steiner arborescence problems,Alain Prodon cdot Scott DeNegre cdot Thomas M. Liebling,liebling,2010
paper_48a666f043b3,group1,group1,group1/820_811786954281582592_10.1007%2Fs10107-010-0374-6.fixed.md,10.1007/s10107-010-0374-6,Strong valid inequalities for orthogonal disjunctions and bilinear covering sets,strong valid inequalities for orthogonal disjunctions and bilinear covering sets,Mohit Tawarmalani cdot Jean-Philippe P. Richard cdot Kwanghun Chung,chung,2010
paper_e7f566d4e0fb,group1,group1,group1/820_811786999936581635_10.1007%2Fs10107-010-0361-y.fixed.md,10.1007/s10107-010-0361-y,Solving a real-world train-unit assignment problem,solving a real world train unit assignment problem,Valentina Cacchiani Alberto Caprara Paolo Toth,toth,2010
paper_37ce07399a83,group1,group1,group1/820_811787240681242626_10.1007%2Fs10107-010-0360-z.fixed.md,10.1007/s10107-010-0360-z,Perspective reformulations of mixed integer nonlinear programs with indicator variables,perspective reformulations of mixed integer nonlinear programs with indicator variables,Oktay G nl k Jeff Linderoth,linderoth,2010
paper_06ff6c31dc63,group1,group1,group1/820_811787259710799873_10.1007%2Fs10107-010-0363-9.fixed.md,10.1007/s10107-010-0363-9,Copositivity cuts for improving SDP bounds on the clique number,copositivity cuts for improving sdp bounds on the clique number,Immanuel M. Bomze Florian Frommlet Marco Locatelli,locatelli,2010
paper_f8fa2bddb026,group1,group1,group1/820_811787302975045633_10.1007%2Fs10107-010-0375-5.fixed.md,10.1007/s10107-010-0375-5,"Orientation-based models for $\{0,1,2\}$ -survivable network design: theory and practice",orientation based models for 0 1 2 survivable network design theory and practice,Markus Chimani cdot Maria Kandyba cdot Ivana Ljubic cdot Petra Mutzel,mutzel,2010
paper_80d5fe554fb2,group1,group1,group1/820_811787364580982784_10.1007%2Fs10107-010-0376-4.fixed.md,10.1007/s10107-010-0376-4,Mixed-integer sets from two rows of two adjacent simplex bases,mixed integer sets from two rows of two adjacent simplex bases,Kent Andersen cdot Quentin Louveaux cdot Robert Weismantel,weismantel,2010
paper_696cff87738d,group1,group1,group1/820_811787592298135554_10.1007%2Fs10107-010-0355-9.fixed.md,10.1007/s10107-010-0355-9,Computable representations for convex hulls of low-dimensional quadratic forms,computable representations for convex hulls of low dimensional quadratic forms,Kurt M. Anstreicher cdot Samuel Burer,burer,2010
paper_8c75cd6bb1a0,group1,group1,group1/820_811788035908698114_10.1007%2Fs10107-010-0381-7.fixed.md,10.1007/s10107-010-0381-7,Extending the QCR method to general mixed-integer programs,extending the qcr method to general mixed integer programs,Alain Billionnet cdot Sourour Elloumi cdot Am lie Lambert,lambert,2010
paper_54b921b2c8a2,group1,group1,group1/820_811788053377974273_10.1007%2Fs10107-010-0378-2.fixed.md,10.1007/s10107-010-0378-2,"Separation, dimension, and facet algorithms for node flow polyhedra",separation dimension and facet algorithms for node flow polyhedra,Maren Martens cdot S. Thomas McCormick cdot Maurice Queyranne,queyranne,2010
paper_ee39e441d546,group1,group1,group1/820_811788312556601344_10.1007%2Fs10107-010-0356-8.fixed.md,10.1007/s10107-010-0356-8,Efficient and fair routing for mesh networks,efficient and fair routing for mesh networks,Andrea Lodi Enrico Malaguti Nicol s E. Stier-Moses,moses,2010
paper_dbd6be7a1201,group1,group1,group1/820_811788339286900737_10.1007%2Fs10107-010-0380-8.fixed.md,10.1007/s10107-010-0380-8,LP-based approximation algorithms for capacitated facility location,lp based approximation algorithms for capacitated facility location,Retsef Levi cdot David B. Shmoys cdot Chaitanya Swamy,swamy,2010
paper_218336a4bb63,group1,group1,group1/820_811788361021784065_10.1007%2Fs10107-010-0379-1.fixed.md,10.1007/s10107-010-0379-1,Design of price mechanisms for network resource allocation via price of anarchy,design of price mechanisms for network resource allocation via price of anarchy,Ying-Ju Chen Jiawei Zhang,zhang,2010
paper_6b7234a2d743,group1,group1,group1/820_811788369129373697_10.1007%2Fs10107-010-0362-x.fixed.md,10.1007/s10107-010-0362-x,Two row mixed-integer cuts via lifting,two row mixed integer cuts via lifting,Santanu S. Dey cdot Laurence A. Wolsey,wolsey,2010
paper_78dc3a286aad,group1,group1,group1/820_811788627100041216_10.1007%2Fs10107-010-0371-9.fixed.md,10.1007/s10107-010-0371-9,Convex relaxations of non-convex mixed integer quadratically constrained programs: extended formulations,convex relaxations of non convex mixed integer quadratically constrained programs extended formulations,Anureet Saxena cdot Pierre Bonami cdot Jon Lee,lee,2010
paper_19196499e503,group1,group1,group1/820_811788643826925569_10.1007%2Fs10107-010-0382-6.fixed.md,10.1007/s10107-010-0382-6,$n$ -step mingling inequalities: new facets for the mixed-integer knapsack set,n step mingling inequalities new facets for the mixed integer knapsack set,Alper Atamturk cdot Kiavash Kianfar,kianfar,2010
paper_1c715821248b,group1,group1,group1/820_811788881421664256_10.1007%2Fs10107-010-0357-7.fixed.md,10.1007/s10107-010-0357-7,New techniques for cost sharing in combinatorial optimization games,new techniques for cost sharing in combinatorial optimization games,Alberto Caprara Adam N. Letchford,letchford,2010
paper_8dcd215a437a,group1,group1,group1/820_811789212901703681_10.1007%2Fs10107-010-0385-3.fixed.md,10.1007/s10107-010-0385-3,On mixing sets arising in chance-constrained programming,on mixing sets arising in chance constrained programming,Simge Kucukyavuz,kucukyavuz,2010
paper_9652de326aad,group1,group1,group1/820_811789484407390209_10.1007%2Fs10107-010-0383-5.fixed.md,10.1007/s10107-010-0383-5,Alternatives for testing total dual integrality,alternatives for testing total dual integrality,Edwin O'Shea cdot Andr s Seb,seb,2010
paper_4be5bf3c8eb7,group1,group1,group1/820_811790784314474500_10.1007%2Fs10107-010-0353-y.fixed.md,10.1007/s10107-010-0353-y,Semidefinite programming for min-max problems and games,semidefinite programming for min max problems and games,R. Laraki cdot J. B. Lasserre,lasserre,2010
paper_ee6f93e09b38,group1,group1,group1/820_811790931794591745_10.1007%2Fs10107-010-0351-0.fixed.md,10.1007/s10107-010-0351-0,Reformulations in mathematical programming: automatic symmetry detection and exploitation,reformulations in mathematical programming automatic symmetry detection and exploitation,Mathematical Programming Society,society,2010
