paper_id,collection,journal,source_md_path,doi,title,title_norm,authors,first_author_norm,year,bibtex
paper_0a1575cafb59,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811787259710799873_10.1007%2Fs10107-010-0363-9.fixed.md,10.1007/s10107-010-0363-9,Copositivity cuts for improving SDP bounds on the clique number,copositivity cuts for improving sdp bounds on the clique number,Immanuel M. Bomze; Florian Frommlet; Marco Locatelli,bomze,2010.0,"@article{Bomze_2010, title={Copositivity cuts for improving SDP bounds on the clique number}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0363-9}, DOI={10.1007/s10107-010-0363-9}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Bomze, Immanuel M. and Frommlet, Florian and Locatelli, Marco}, year={2010}, month=may, pages={13–32} }"
paper_895496f33df7,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811787302975045633_10.1007%2Fs10107-010-0375-5.fixed.md,10.1007/s10107-010-0375-5,"Orientation-based models for {0,1,2} -survivable network design: theory and practice",orientation based models for 0 1 2 survivable network design theory and practice,Markus Chimani; Maria Kandyba; Ivana Ljubic; Petra Mutzel,chimani,2010.0,"@article{Chimani_2010, title={Orientation-based models for {0,1,2}-survivable network design: theory and practice}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0375-5}, DOI={10.1007/s10107-010-0375-5}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Chimani, Markus and Kandyba, Maria and Ljubić, Ivana and Mutzel, Petra}, year={2010}, month=may, pages={413–439} }"
paper_b33551e40459,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811787364580982784_10.1007%2Fs10107-010-0376-4.fixed.md,10.1007/s10107-010-0376-4,Mixed-integer sets from two rows of two adjacent simplex bases,mixed integer sets from two rows of two adjacent simplex bases,Kent Andersen; Quentin Louveaux; Robert Weismantel,andersen,2010.0,"@article{Andersen_2010, title={Mixed-integer sets from two rows of two adjacent simplex bases}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0376-4}, DOI={10.1007/s10107-010-0376-4}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Andersen, Kent and Louveaux, Quentin and Weismantel, Robert}, year={2010}, month=may, pages={455–480} }"
paper_8977a9455240,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811787592298135554_10.1007%2Fs10107-010-0355-9.fixed.md,10.1007/s10107-010-0355-9,Computable representations for convex hulls of low-dimensional quadratic forms,computable representations for convex hulls of low dimensional quadratic forms,Kurt M. Anstreicher; Samuel Burer,anstreicher,2010.0,"@article{Anstreicher_2010, title={Computable representations for convex hulls of low-dimensional quadratic forms}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0355-9}, DOI={10.1007/s10107-010-0355-9}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Anstreicher, Kurt M. and Burer, Samuel}, year={2010}, month=may, pages={33–43} }"
paper_9b0a893f8fd4,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788035908698114_10.1007%2Fs10107-010-0381-7.fixed.md,10.1007/s10107-010-0381-7,Extending the QCR method to general mixed-integer programs,extending the qcr method to general mixed integer programs,Alain Billionnet; Sourour Elloumi; Am茅lie Lambert,billionnet,2010.0,"@article{Billionnet_2010, title={Extending the QCR method to general mixed-integer programs}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0381-7}, DOI={10.1007/s10107-010-0381-7}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Billionnet, Alain and Elloumi, Sourour and Lambert, Amélie}, year={2010}, month=may, pages={381–401} }"
paper_423bea9939a2,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788053377974273_10.1007%2Fs10107-010-0378-2.fixed.md,10.1007/s10107-010-0378-2,"Separation, dimension, and facet algorithms for node flow polyhedra",separation dimension and facet algorithms for node flow polyhedra,Maren Martens; S. Thomas McCormick; Maurice Queyranne,martens,2010.0,"@article{Martens_2010, title={Separation, dimension, and facet algorithms for node flow polyhedra}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0378-2}, DOI={10.1007/s10107-010-0378-2}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Martens, Maren and McCormick, S. Thomas and Queyranne, Maurice}, year={2010}, month=may, pages={317–348} }"
paper_1e02879112a4,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788312556601344_10.1007%2Fs10107-010-0356-8.fixed.md,10.1007/s10107-010-0356-8,Efficient and fair routing for mesh networks,efficient and fair routing for mesh networks,Andrea Lodi; Enrico Malaguti; Nicol谩s E. Stier-Moses,lodi,2010.0,"@article{Lodi_2010, title={Efficient and fair routing for mesh networks}, volume={124}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0356-8}, DOI={10.1007/s10107-010-0356-8}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Lodi, Andrea and Malaguti, Enrico and Stier-Moses, Nicolás E.}, year={2010}, month=may, pages={285–316} }"
paper_6ea1c0747439,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788339286900737_10.1007%2Fs10107-010-0380-8.fixed.md,10.1007/s10107-010-0380-8,LP-based approximation algorithms for capacitated facility location,lp based approximation algorithms for capacitated facility location,Retsef Levi; David B. Shmoys; Chaitanya Swamy,levi,2010.0,"@article{Levi_2010, title={LP-based approximation algorithms for capacitated facility location}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0380-8}, DOI={10.1007/s10107-010-0380-8}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Levi, Retsef and Shmoys, David B. and Swamy, Chaitanya}, year={2010}, month=may, pages={365–379} }"
paper_7f309e3e6cba,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788361021784065_10.1007%2Fs10107-010-0379-1 - 鍓湰.fixed.md,10.1007/s10107-010-0379-1,Design of price mechanisms for network resource allocation via price of anarchy,design of price mechanisms for network resource allocation via price of anarchy,Ying-Ju Chen; Jiawei Zhang,chen,2010.0,"@article{Chen_2010, title={Design of price mechanisms for network resource allocation via price of anarchy}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0379-1}, DOI={10.1007/s10107-010-0379-1}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Chen, Ying-Ju and Zhang, Jiawei}, year={2010}, month=may, pages={333–364} }"
paper_ae06fde3c90b,mathematical_programming_flat-鍓湰,mathematical programming flat,mathematical_programming_flat-鍓湰/820_811788361021784065_10.1007%2Fs10107-010-0379-1.fixed.md,10.1007/s10107-010-0379-1,Design of price mechanisms for network resource allocation via price of anarchy,design of price mechanisms for network resource allocation via price of anarchy,Ying-Ju Chen; Jiawei Zhang,chen,2010.0,"@article{Chen_2010, title={Design of price mechanisms for network resource allocation via price of anarchy}, volume={131}, ISSN={1436-4646}, url={http://dx.doi.org/10.1007/s10107-010-0379-1}, DOI={10.1007/s10107-010-0379-1}, number={1–2}, journal={Mathematical Programming}, publisher={Springer Science and Business Media LLC}, author={Chen, Ying-Ju and Zhang, Jiawei}, year={2010}, month=may, pages={333–364} }"
